IM regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), SU regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), REG regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), time of progression (week), % resistant, 100 g tumor at (week),,
248.5,0.54761862,507,0.95162452,544.5,0.95162452,507,1.65065115,566,0.17549951,652.5,0.30603242,688.5,0.713131668,974.5,,
248.5,0.25760413,529,0.45057418,565.5,2.00E-08,962,5.00E-08,962.5,1.00E-08,963.5,2.00E-08,964,0,,,
248.5,0.0034314,651,0.00595124,685,0.00595124,651,0.01037987,705.5,1.00E-08,984.5,3.00E-08,985,0,,,
248.5,0.04693876,575,0.08156881,612,0.08156881,575,0.1411158,640.5,0.1411158,575,0.24456711,659.5,0.948191194,955,,
248.5,0.19344378,536.5,0.33538495,573,0.33538495,536.5,0.58138595,593.5,0.58138595,536.5,1.00984297,621.5,0.943282905,888,,
248.5,0.00166209,670,0.00288113,704,0.00288113,670,0.0050396,725.5,3.30E-07,986.5,5.80E-07,992,0,,,
248.5,0.0059244,632,0.0103442,670,4.90E-07,908.5,9.50E-07,912.5,9.50E-07,908.5,1.74E-06,917,0,1616.5,,
248.5,,,,,,,,,,,,,,,,
248.5,6.90E-07,836,1.28E-06,841,1.50E-07,859,2.60E-07,860,1.20E-07,864.5,2.10E-07,865.5,0,,,
248.5,0.17145526,540,0.29888102,576.5,0.23459942,598.5,0.40736663,635,0.40736663,598.5,0.70549328,654,0.934157629,917,,
248.5,0.09296814,557,0.16199339,593.5,0.16199339,557,0.28155596,614,0.28155596,557,0.49104749,633.5,0.994454711,924,,
249,0.02315563,597,0.04046518,632.5,0.04046518,597,0.07089683,653,0.07089683,597,0.12427031,673,0.988725867,1006.5,,
249,0.01146149,615,0.01993183,652,0.01993183,615,0.03486281,672.5,0.03486281,615,0.06024301,704,0.93246204,1032,,
248.5,0.28104895,526,0.48853247,563,0.48853247,526,0.84451215,584,0.06880526,677,0.11984015,713,0,1031.5,,
248.5,0.14689174,544.5,0.2538748,580.5,0.2538748,544.5,0.44317205,601.5,0.44317205,544.5,0.77457811,621,0.991761515,847,,
249,0.0244295,594.5,0.04226888,630.5,5.00E-08,931.5,1.10E-07,934,9.00E-08,936.5,1.90E-07,940.5,0,,,
248.5,0.10115398,554,0.17605925,591,0.17605925,554,0.3067521,611.5,1.16E-06,945,2.13E-06,950,0,,,
248.5,0.47783964,511.5,0.82658019,548,0.11010907,627,0.1914466,663,0.1914466,627,0.33411577,682,0.933687147,979.5,,
248.5,0.034785,585,0.06047249,621,0.06047249,585,0.10529983,641.5,9.00E-08,966.5,1.80E-07,967,0,,,
248.5,0.05939178,569.5,0.10327769,606,5.90E-07,924.5,1.09E-06,928,1.09E-06,924.5,1.96E-06,932.5,0,1606,,
248.5,0.01709392,603.5,0.02986376,640.5,0.02986376,603.5,0.05223025,661,0.05223025,603.5,0.09075146,680,0.994594798,1014,,
248.5,0.29344022,525.5,0.50717852,561.5,0.50717852,525.5,0.88251611,582.5,0.88251611,525.5,1.53176307,610.5,0.946701705,867,,
248.5,0.07443134,564,0.12960273,600,0.12960273,564,0.22511001,624,0.17035763,648,0.29706142,684,0.804320736,973,,
248.5,0.04062829,580.5,0.07108701,616,0.07108701,580.5,0.1241542,636.5,0.1241542,580.5,0.21455396,655.5,0.993430324,972,,
248.5,0.00834235,622.5,0.01455332,660,1.00E-08,924.5,3.00E-08,925,3.00E-08,924.5,6.00E-08,925.5,0,,,
248.5,0.0088446,623.5,0.01544266,659.5,4.00E-08,969,7.00E-08,969.5,2.00E-08,971.5,5.00E-08,972,0,,,
248.5,0.3529967,519.5,0.61403584,556.5,0.61403584,519.5,1.06272157,577.5,0.66637151,609,1.15152731,646,0.9298343,903,,
248.5,0.73827352,498.5,1.27716327,536,0.03894505,657.5,0.06754773,693,0.02944088,737.5,0.05120851,772.5,0,1124.5,,
248.5,0.0635103,567,0.11058569,604,0.06521962,637.5,0.11349758,673.5,0.04879048,717,0.08514793,753.5,0,1080,,
248.5,1.28E-06,825.5,2.36E-06,833,2.90E-07,877.5,5.10E-07,882.5,2.70E-07,887,4.70E-07,891,0,,,
248.5,0.04355872,578,0.07597444,615,0.03967825,652,0.06857137,688,0.03003365,731.5,0.05253878,767.5,0,1116.5,,
248.5,0.11256949,551,0.19553065,588,0.19553065,551,0.33895462,613,0.33895462,551,0.59146064,632.5,0.962347317,916.5,,
248.5,0.06658903,566,0.11507785,602.5,0.11507785,566,0.20017496,638.5,0.14900636,663,0.25836026,699,0.660027243,1003.5,,
248.5,0.1865808,537.5,0.32350813,574,0.32350813,537.5,0.56394491,595,0.56394491,537.5,0.98445734,615,0.992227363,882.5,,
248.5,0.09995438,555,0.17296147,591.5,0.10729824,623.5,0.18543825,659,0.18543825,623.5,0.32175494,678,0.9298619,955.5,,
248.5,0.01402888,610,0.02449879,645.5,0.0208207,663,0.03610745,699.5,0.03610745,663,0.06278831,729,0.847662248,1065.5,,
248.5,0.02812947,590.5,0.04875941,627,0.00394374,717,0.00684594,753.5,0.00684594,717,0.01196647,772.5,0.930740644,1160,,
248.5,0.06194333,569,0.10808128,605,2.90E-07,935,5.50E-07,938.5,2.60E-07,949,4.50E-07,950,0,,,
248.5,0.50533207,509.5,0.88372629,547,0.02477423,670,0.04326382,705.5,0.04326382,670,0.07476626,724,0.933662189,1058.5,,
248.5,0.05587177,570.5,0.09735927,607.5,6.60E-07,926.5,1.37E-06,931,1.36E-06,931.5,2.36E-06,943.5,0,1641.5,,
248.5,0.03858906,581,0.06682629,618,0.06682629,581,0.11626149,638.5,0.11626149,581,0.20169705,662,0.956852418,953,,
248.5,0.3633656,519,0.62882255,555.5,0.02816869,664.5,0.04917367,701,0.04917367,664.5,0.08584262,720,0.932143381,1044.5,,
248.5,0.04144521,579.5,0.07181952,615.5,0.07181952,579.5,0.12526953,636,0.12526953,579.5,0.21957267,655.5,0.994675977,966.5,,
248.5,0.02419001,594.5,0.04211463,630.5,2.00E-08,938.5,4.00E-08,940.5,,,,,,,,
248.5,0.0307861,587.5,0.05350411,623.5,0.01951226,671,0.03387905,708.5,0.03318375,714.5,0.05747414,751,0.797651257,1085,,
248.5,0.04203124,578,0.07285346,615.5,0.07285346,578,0.12660474,636,0.12660474,578,0.21931945,655,0.994515489,968,,
248.5,0.01591859,605.5,0.02772099,642.5,0.02772099,605.5,0.04827062,663,7.00E-08,980,1.50E-07,981,0,,,
249,0.10441919,554,0.1822819,591,0.1822819,554,0.31583846,611.5,0.31583846,554,0.54991965,631,0.994602357,915,,
